Tid;Vannstand(m)
2017-01-03 15:00;     1,446
2017-01-03 16:00;     1,442
2017-01-03 17:00;     1,442
2017-01-03 18:00;     1,435
2017-01-03 19:00;     1,437
2017-01-03 20:00;     1,438
2017-01-03 21:00;     1,439
2017-01-03 22:00;     1,439
2017-01-03 23:00;     1,437
2017-01-04 00:00;     1,434
2017-01-04 01:00;     1,434
2017-01-04 02:00;     1,431
2017-01-04 03:00;     1,431
2017-01-04 04:00;     1,428
2017-01-04 05:00;     1,426
2017-01-04 06:00;     1,422
2017-01-04 07:00;     1,422
2017-01-04 08:00;     1,423
2017-01-04 09:00;     1,418
2017-01-04 10:00;     1,413
2017-01-04 11:00;     1,411
2017-01-04 12:00;     1,410
2017-01-04 13:00;     1,407
2017-01-04 14:00;     1,407
2017-01-04 15:00;     1,405
2017-01-04 16:00;     1,402
2017-01-04 17:00;     1,402
2017-01-04 18:00;     1,398
2017-01-04 19:00;     1,396
2017-01-04 20:00;     1,393
2017-01-04 21:00;     1,395
2017-01-04 22:00;     1,392
2017-01-04 23:00;     1,389
2017-01-05 00:00;     1,386
2017-01-05 01:00;     1,384
2017-01-05 02:00;     1,383
2017-01-05 03:00;     1,381
2017-01-05 04:00;     1,380
2017-01-05 05:00;     1,377
2017-01-05 06:00;     1,375
2017-01-05 07:00;     1,372
2017-01-05 08:00;     1,371
2017-01-05 09:00;     1,370
2017-01-05 10:00;     1,368
2017-01-05 11:00;     1,365
2017-01-05 12:00;     1,363
2017-01-05 13:00;     1,362
2017-01-05 14:00;     1,360
2017-01-05 15:00;     1,359
2017-01-05 16:00;     1,355
2017-01-05 17:00;     1,354
2017-01-05 18:00;     1,352
2017-01-05 19:00;     1,353
2017-01-05 20:00;     1,349
2017-01-05 21:00;     1,349
2017-01-05 22:00;     1,348
2017-01-05 23:00;     1,343
2017-01-06 00:00;     1,342
2017-01-06 01:00;     1,342
2017-01-06 02:00;     1,340
2017-01-06 03:00;     1,340
2017-01-06 04:00;     1,340
